ce_annual_ndx,water_type_index,water_type,billed_unmetered_use,unbilled_authorized_use,apparent_losses,real_losses,calculated_total,units,billumu,ubillau,apploss,realloss,calctotal,,325850.943,1
2186,1,Potable Treated,,,,,0,Acre-feet,0,0,0,0,0,,,
2197,1,Potable Treated,0,659,953,2165,3777,Acre-feet,0,214735.7714,310535.9487,705467.2916,1230739.012,,,
2199,1,Potable Treated,0,364,0,490,854,Acre-feet,0,118609.7433,0,159666.9621,278276.7053,,,
2206,1,Potable Treated,0,309.63,172.701,371.26,853.591,Acre-feet,0,100893.2275,56274.78371,120975.4211,278143.4323,,,
2127,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2009,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1925,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2010,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2011,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2129,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2017,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2133,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2020,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1920,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2152,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2030,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2209,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1951,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1949,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2163,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2050,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2052,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2220,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2053,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2054,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2056,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2172,2,Non-potable Raw,0,277.34,0,0,277.34,Acre-feet,0,90371.50053,0,0,90371.50053,,,
2057,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2059,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2174,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2065,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2069,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2179,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1936,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2074,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2076,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1932,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2186,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1939,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2085,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2086,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1968,2,Non-potable Raw,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
1970,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1953,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2093,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1981,2,Non-potable Raw,0,74,0,0,74,Acre-feet,0,24112.96978,0,0,24112.96978,,,
1982,2,Non-potable Raw,0,74,0,0,74,Acre-feet,0,24112.96978,0,0,24112.96978,,,
1988,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2120,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1993,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1995,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2123,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2002,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
2197,2,Non-potable Raw,,,,,0,Acre-feet,0,0,0,0,0,,,
1920,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
1982,3,Non-potable Re-use,0,0,0,0,0,Acre-feet,0,0,0,0,0,,,
2053,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
2120,3,Non-potable Re-use,,,,,0,Acre-feet,0,0,0,0,0,,,
